# SignalLab run cost log — INFY — 2026-07-31T09:44:25.289511+00:00
# call                   model                  in      out  reason   cost_usd
  ConfidenceAgent        gpt-5.6-luna         3030      872     209    0.00826
  ConfidenceAgent        gpt-5.6-luna         3534      873     286    0.00877
  NarrativeAgent         gpt-5.6-luna         2305     1738     145    0.01273
  NarrativeAgent         gpt-5.6-luna         2434     1884     354    0.01374
  GuidanceAgent          gpt-5.6-luna         2043      860     512    0.00720
  GuidanceAgent          gpt-5.6-luna         2043      998     512    0.00803
  RiskAgent              gpt-5.6-luna         1889      534     150    0.00509
  RiskAgent              gpt-5.6-luna         2114     1333     461    0.01011
  ConfidenceAgent        gpt-5.6-luna          500      242       0    0.00195
  ConfidenceAgent        gpt-5.6-luna          516      335      71    0.00253
# ------------------------------------------------------------------------
# TOTAL  calls=10  in=20408  out=9669  reasoning=2700  cost_usd=0.07842  elapsed=178.3s
